# BugBuster Current Measurement Log
# AD8411A supply: 5.0000 V
# Rsense: 100.000 mOhm  (gain=50.0)
# AD8411A IO_Block: 4 | DUT: BB IO_Block 1 (12.50 V)
# timestamp_unix,current_A,power_W
1780603224.558,0.000000000e+00,0.000000e+00
1780603224.814,0.000000000e+00,0.000000e+00
1780603224.828,0.000000000e+00,0.000000e+00
1780603224.894,0.000000000e+00,0.000000e+00
1780603224.933,0.000000000e+00,0.000000e+00
1780603224.991,0.000000000e+00,0.000000e+00
1780603225.041,0.000000000e+00,0.000000e+00
1780603225.091,0.000000000e+00,0.000000e+00
1780603225.143,0.000000000e+00,0.000000e+00
1780603225.194,0.000000000e+00,0.000000e+00
1780603225.249,0.000000000e+00,0.000000e+00
1780603225.315,0.000000000e+00,0.000000e+00
1780603225.356,0.000000000e+00,0.000000e+00
1780603225.430,0.000000000e+00,0.000000e+00
1780603225.470,0.000000000e+00,0.000000e+00
1780603225.677,0.000000000e+00,0.000000e+00
1780603225.694,0.000000000e+00,0.000000e+00
1780603225.751,0.000000000e+00,0.000000e+00
1780603225.802,0.000000000e+00,0.000000e+00
1780603225.865,0.000000000e+00,0.000000e+00
1780603225.944,0.000000000e+00,0.000000e+00
1780603225.969,0.000000000e+00,0.000000e+00
1780603226.061,0.000000000e+00,0.000000e+00
1780603226.087,0.000000000e+00,0.000000e+00
1780603226.162,0.000000000e+00,0.000000e+00
1780603226.184,0.000000000e+00,0.000000e+00
1780603226.453,0.000000000e+00,0.000000e+00
1780603226.470,0.000000000e+00,0.000000e+00
1780603226.518,0.000000000e+00,0.000000e+00
1780603226.577,0.000000000e+00,0.000000e+00
1780603226.650,0.000000000e+00,0.000000e+00
1780603226.684,0.000000000e+00,0.000000e+00
1780603226.751,0.000000000e+00,0.000000e+00
1780603226.792,0.000000000e+00,0.000000e+00
1780603226.976,0.000000000e+00,0.000000e+00
1780603226.996,0.000000000e+00,0.000000e+00
1780603227.070,0.000000000e+00,0.000000e+00
1780603227.098,0.000000000e+00,0.000000e+00
1780603227.276,0.000000000e+00,0.000000e+00
1780603227.290,0.000000000e+00,0.000000e+00
1780603227.345,0.000000000e+00,0.000000e+00
1780603227.403,0.000000000e+00,0.000000e+00
1780603227.581,0.000000000e+00,0.000000e+00
1780603227.608,0.000000000e+00,0.000000e+00
1780603227.672,0.000000000e+00,0.000000e+00
1780603227.700,0.000000000e+00,0.000000e+00
1780603227.789,0.000000000e+00,0.000000e+00
1780603227.814,0.000000000e+00,0.000000e+00
1780603227.885,0.000000000e+00,0.000000e+00
1780603227.934,0.000000000e+00,0.000000e+00
1780603227.977,0.000000000e+00,0.000000e+00
1780603228.026,0.000000000e+00,0.000000e+00
1780603228.092,0.000000000e+00,0.000000e+00
1780603228.143,0.000000000e+00,0.000000e+00
1780603228.205,0.000000000e+00,0.000000e+00
1780603228.252,0.000000000e+00,0.000000e+00
1780603228.300,0.000000000e+00,0.000000e+00
1780603228.352,0.000000000e+00,0.000000e+00
1780603228.411,0.000000000e+00,0.000000e+00
1780603228.471,0.000000000e+00,0.000000e+00
1780603228.542,0.000000000e+00,0.000000e+00
1780603228.593,0.000000000e+00,0.000000e+00
1780603228.626,0.000000000e+00,0.000000e+00
1780603228.697,0.000000000e+00,0.000000e+00
1780603228.736,0.000000000e+00,0.000000e+00
1780603228.802,0.000000000e+00,0.000000e+00
1780603228.837,0.000000000e+00,0.000000e+00
1780603228.902,0.000000000e+00,0.000000e+00
1780603228.943,0.000000000e+00,0.000000e+00
1780603229.010,0.000000000e+00,0.000000e+00
1780603229.047,0.000000000e+00,0.000000e+00
1780603229.135,0.000000000e+00,0.000000e+00
1780603229.153,0.000000000e+00,0.000000e+00
1780603229.216,0.000000000e+00,0.000000e+00
1780603229.264,0.000000000e+00,0.000000e+00
1780603229.318,0.000000000e+00,0.000000e+00
1780603229.376,0.000000000e+00,0.000000e+00
1780603229.425,0.000000000e+00,0.000000e+00
1780603229.479,0.000000000e+00,0.000000e+00
1780603229.536,0.000000000e+00,0.000000e+00
1780603229.587,0.000000000e+00,0.000000e+00
1780603229.646,0.000000000e+00,0.000000e+00
1780603229.714,0.000000000e+00,0.000000e+00
1780603229.748,0.000000000e+00,0.000000e+00
1780603229.801,0.000000000e+00,0.000000e+00
1780603229.868,0.000000000e+00,0.000000e+00
1780603229.931,0.000000000e+00,0.000000e+00
1780603229.977,0.000000000e+00,0.000000e+00
1780603230.032,0.000000000e+00,0.000000e+00
1780603230.086,0.000000000e+00,0.000000e+00
1780603230.144,0.000000000e+00,0.000000e+00
