Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","105 kOhms","RES SMD 105K OHM 1% 1/10W 0603","R60","","Not managed","","1","Panasonic","ERJ3EKF1053V","Volume Production","DigiKey","P105KHCT-ND","0.1","0.1"
"","147 kOhms","RES SMD 147K OHM 1% 1/10W 0603","R39","","Not managed","","1","Panasonic","ERJ-3EKF1473V","Volume Production","DigiKey","P147KHCT-ND","0.1","0.1"
"","150 kOhms","RES SMD 150K OHM 1% 1/3W 0603","R17","","Not managed","","1","Panasonic","ERJPA3F1503V","Volume Production","DigiKey","P150KBYCT-ND","0.15","0.15"
"","191 kOhms","RES SMD 191K OHM 1% 1/10W 0603","R52","","Not managed","","1","Panasonic","ERJ3EKF1913V","Volume Production","DigiKey","P191KHCT-ND","0.1","0.1"
"","243 kOhms","RES SMD 243K OHM 1% 1/10W 0603","R77","","Not managed","","1","Panasonic","ERJ-3EKF2433V","Volume Production","DigiKey","P243KHCT-ND","0.1","0.1"
"","SiT8208AI-22-33E-16.384000X","SiT8208AI-22-33E-16.384000X","Y1","","Unknown server","","1","SiTime","SIT8208AI-2F-33E-25.000000Y","Volume Production","","","",""
"","1 µF","SMT Capacitor","C1, C2, C3, C5, C6, C17, C35, C41, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C80, C83, C91, C98","","Not managed","","22","Cal-Chip Electronics","GMC10X7R105M50NT","Volume Production","DigiKey","4713-GMC10X7R105M50NTCT-ND","0.211","4.64"
"","0.1 µF","SMT Capacitor","C4, C9, C10, C11, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C36, C37, C38, C39, C40, C42, C43, C44, C50, C61, C62, C63, C64, C72, C74, C75, C79, C81, C82, C87, C88, C89, C90, C97","","Not managed","","41","Yageo Group","C0603C104M5RACTU","Volume Production","DigiKey","399-C0603C104M5RACTUCT-ND","0.151","7.55"
"","0.33 µF","SMT Capacitor","C7","","Not managed","","1","TDK","CGA5L3X8R2A334K160AB","Volume Production","DigiKey","445-12977-1-ND","0.67","0.67"
"","22 µF","SMT Capacitor","C8, C12, C14, C76, C84","","Not managed","","5","","","","DigiKey","490-GRM188C61C226ME01DCT-ND","",""
"","2.2 µF","SMT Capacitor","C34","","Not managed","","1","Cal-Chip Electronics","GMC21X7R225M35NT","Volume Production","DigiKey","4713-GMC21X7R225M35NTCT-ND","0.77","0.77"
"","2.2 µF","SMT Capacitor","C45, C46, C48, C49, C92, C93, C95, C96","","Not managed","","8","TAIYO YUDEN","UMK212BB7225KG-T","Volume Production","DigiKey","587-3169-1-ND","0.184","1.84"
"","4.7 pF","SMT Capacitor","C85","","Not managed","","1","KYOCERA AVX","06035C4R7KAT2A","Volume Production","DigiKey","478-06035C4R7KAT2ACT-ND","0.2","0.2"
"","2.7 pF","SMT Capacitor","C86","","Not managed","","1","","","","DigiKey","399-C0603C279D5GAC7867CT-ND","",""
"","430473035826","Switch Tactile Spst-no 0.05A 12V","BOOT, DOWN, OK, RST, UP","","Unknown server","","5","Wurth Elektronik","430473035826","Volume Production","","","",""
"","691382010004","Terminal Block, R/A Header, 4Pos, Th Rohs Compliant: Yes","P1","","Unknown server","","1","Wurth Elektronik","691382010004","Volume Production","","","",""
"","DS4424+","Two-/Four-Channel, IÂ²C, 7-Bit Sink/Source Current DAC","U26","","Not managed","","1","","","","","","",""
