Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","178 kOhms","RES 178K OHM 1% 1/10W 0603","R37","","Not managed","","1","KOA Speer","RK73H1JTTD1783F","Volume Production","DigiKey","2019-RK73H1JTTD1783FCT-ND","0.1","0.1"
"","1 MOhms","RES SMD 1M OHM 1% 1/10W 0603","R106","","Not managed","","1","","","","DigiKey","HVC0603T1004FETCT-ND","",""
"","2 kOhms","RES SMD 2K OHM 1% 1/10W 0603","R42, R43, R46, R47, R48, R49, R54, R55, R59, R60, R61, R62, R68, R69, R71, R72, R74, R75, R82, R83, R84, R85, R86, R87","","Not managed","","24","Panasonic","ERJ-S03F2001V","Unknown","DigiKey","10-ERJ-S03F2001VCT-ND","",""
"","6.98 kOhms","RES SMD 6.98K OHM 1% 1/10W 0603","R105","","Not managed","","1","Vishay","CRCW06036K98FKEA","Volume Production","DigiKey","541-6.98KHCT-ND","0.1","0.1"
"","10 Ohms","RES SMD 10 OHM 1% 1/4W 0603","R4, R8","","Not managed","","2","ROHM","ESR03EZPF10R0","Volume Production","DigiKey","RHM10.0ADCT-ND","0.15","0.3"
"","11 kOhms","RES SMD 11K OHM 1% 1/16W 0603","R73, R80, R89, R92","","Not managed","","4","TE Connectivity / AMP","6-1879337-3","Volume Production","DigiKey","A102207CT-ND","0.035","0.35"
"","12 Ohms","RES SMD 12 OHM 0.1% 1/10W 0603","R44, R45, R57, R58","","Not managed","","4","Yageo Group","RT0603BRD0712RL","Volume Production","DigiKey","13-RT0603BRD0712RLCT-ND","0.048","0.48"
"","12 kOhms","RES SMD 12K OHM 1% 1/3W 0603","R17","","Not managed","","1","Vishay","CRCW060312K0FKEAHP","Volume Production","DigiKey","541-12.0KSCT-ND","0.15","0.15"
"","22 kOhms","RES SMD 22K OHM 1% 1/10W 0603","R18","","Not managed","","1","ROHM","KTR03EZPF2202","Volume Production","DigiKey","RHM22KAYCT-ND","0.16","0.16"
"","34.8 kOhms","RES SMD 34.8K OHM 1% 1/10W 0603","R22, R107, R108","","Not managed","","3","Vishay","CRCW060334K8FKEA","Volume Production","DigiKey","541-34.8KHCT-ND","0.03","0.3"
"","45.3 kOhms","RES SMD 45.3K OHM 1% 1/10W 0603","R20, R27","","Not managed","","2","Yageo Group","AC0603FR-0745K3L","Volume Production","DigiKey","13-AC0603FR-0745K3LCT-ND","0.008","0.08"
"","78.7 kOhms","RES SMD 78.7K OHM 1% 1/16W 0603","R23","","Not managed","","1","TE Connectivity / AMP","4-1879338-6","Volume Production","DigiKey","A102318CT-ND","0.1","0.1"
"","107 Ohms","RES SMD 107 OHM 1% 1/10W 0603","R100, R101, R102","","Not managed","","3","Vishay","CRCW0603107RFKEA","Volume Production","DigiKey","541-107HCT-ND","0.03","0.3"
"","133 Ohms","RES SMD 133 OHM 1% 1/10W 0603","R97, R98, R99","","Not managed","","3","Vishay","CRCW0603133RFKEA","Volume Production","DigiKey","541-133HCT-ND","0.03","0.3"
"","154 kOhms","RES SMD 154K OHM 1% 1/10W 0603","R32, R34, R35, R36","","Not managed","","4","Yageo Group","AC0603FR-07154KL","Volume Production","DigiKey","13-AC0603FR-07154KLCT-ND","0.008","0.08"
"","430473035826","Switch Tactile Spst-no 0.05A 12V","BOOT, RST","CMP-1455-00006-5","Released","Up to date","2","Wurth Elektronik","430473035826","Unknown","DigiKey","732-7021-1-ND","0.55","1.1"
"","691382010005","Terminal Block, R/A Header, 5Pos, Th Rohs Compliant: Yes |Wurth Elektronik 691382010005","P1, P2, P3, P4","CMP-1502-01746-3","Released","Up to date","4","Wurth Elektronik","691382010005","Unknown","DigiKey","732-6040-ND","1.48","5.92"
"","TPD2E1B06DRLR","TVS DIODE 5.5V 15V 6SOT","D4","CMP-04985-000003-1","New From Design","Up to date","1","Texas Instruments","TPD2E1B06DRLR","Volume Production","Mouser","595-TPD2E1B06DRLR","0.67","0.67"
"","DS4424+","Two-/Four-Channel, IÂ²C, 7-Bit Sink/Source Current DAC","U8","","Not managed","","1","","","","","","",""
"","ADR4525BRZ","Ultralow Noise, High Accuracy Voltage Reference, 2.5 V Output, 3 to 15 V Supply, Industrial, 8-pin SOIC (R-8), Tube","U21","CMP-0784-00254-1","Released","Up to date","1","Analog Devices","ADR4525BRZ","Volume Production","Mouser","584-ADR4525BRZ","10.55","10.55"
"","ESP32-S3-WROOM-1-N8R2","WiFi 802.11a/b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz Antenna Not Included -","U1","","Not managed","","1","","","","","","",""
